brand_name,parent_company_name,id,link,country,sum,validated
alpenliebe,perfetti van melle,Q612524,https://www.wikidata.org/wiki/Q612524,"Italy, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, India, India, India, Indonesia, Indonesia, India, Indonesia",23,FALSE
vivident,perfetti van melle,Q612524,https://www.wikidata.org/wiki/Q612524,"Cyprus, Denmark",23,FALSE
fresh drinking water,meghna group of industries,Q6809077,https://www.wikidata.org/wiki/Q6809077,Bangladesh,23,FALSE
sinalco,sinalco,Q707412,https://www.wikidata.org/wiki/Q707412,"Greece, Greece, Switzerland, Switzerland, Switzerland",23,FALSE
dr.mcgillicuddy,sazerac company,Q7429410,https://www.wikidata.org/wiki/Q7429410,United States of America,23,FALSE
100 piper,pernod ricard,Q837049,https://www.wikidata.org/wiki/Q837049,India,23,FALSE
å¡‘æ–™è¢‹/plastic beg,plastic beg,,,China,23,FALSE
afya mango,afya mango,,,"Tanzania, Tanzania, Tanzania",23,FALSE
amstle,amstle,,,Nigeria,23,FALSE
ares,sejahtera abadi,,,"Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia",23,FALSE
bianchi,super,,,Ecuador,23,FALSE
cheez n soy,cheez n soy,,,Philippines,23,FALSE
chips chips noodle chips,chikki food industry limited,,,Nigeria,23,FALSE
deum dee,d c n supply limited partnership,,,"Thailand, Thailand, Thailand, Thailand, Thailand, Thailand",23,FALSE
doll,"doll, nã£o identificado",,,"Brazil, Brazil",23,FALSE
family,"family, family, familymart",,,"Hong Kong, Hong Kong, Hong Kong, Tanzania, China, Tanzania",23,FALSE
frutabela,"fructal, frutabela",,,"Slovenia, Slovenia, Slovenia, Slovenia",23,FALSE
frytol,wilmar,,,Ghana,23,FALSE
godfather,devans modern breweries ltd,,,India,23,FALSE
golden toast,golden bakery,,,India,23,FALSE
janani ball pen,janani group,,,Bangladesh,23,FALSE
karpats'ka dzherel'na,"karpat'ska dzherel'na, karpats'kі mіneral'nі vodi",,,"Ukraine, Ukraine, Ukraine, Ukraine",23,FALSE
king kotes,"king kotes, king kotes",,,"Morocco, Morocco, France",23,FALSE
kings oil,kings oil,,,Nigeria,23,FALSE
masterminds,masterminds,,,Tanzania,23,FALSE
molokia,"molokia, ternopil milk factory",,,"Ukraine, Ukraine, Ukraine, Ukraine, Ukraine, Ukraine",23,FALSE
mountea,tudung group,,,"Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Australia",23,FALSE
mwananchi newspaper,mwananchi,,,Tanzania,23,FALSE
prestige,"prestige, prestige import group, rewe",,,"Tunisia, Tunisia, Tunisia, Tunisia, Germany, Mexico",23,FALSE
radenska,"radenska, radenska d.o.o.",,,"Italy, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia",23,FALSE
reaktor,reaktor,,,Cameroon,23,FALSE
ruteng air mineral,nampar nos,,,"Indonesia, Indonesia, Indonesia",23,FALSE
sea oil,sea oil,,,Nigeria,23,FALSE
supa loaf,supa loaf,,,Kenya,23,FALSE
tonayan,"casa tres torres, grupo corona, tonayan, tonayan",,,"Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico",23,FALSE
yan yan,yan yan,,,"Philippines, Philippines",23,FALSE
viva,kimberly-clark,Q1741634,https://www.wikidata.org/wiki/Q1741634,"Philippines, Greece, Philippines, Tunisia, Nigeria, Brazil, Egypt, Indonesia, Australia",22,TRUE
